n1,n2,n3,d1_nm,d2_nm,d3_nm,reflectance
1.06666666666667,1.93333333333333,1.26666666666667,56,32,176,0.157827590790815
1.8,1.2,1.06666666666667,44,188,116,0.116569006631381
1.66666666666667,1.8,1.4,128,104,116,0.157850370617029
1.66666666666667,1.86666666666667,1.6,188,176,56,0.111930925015459
1.2,1.53333333333333,1.33333333333333,176,104,32,0.0393399559842265
1.2,1.26666666666667,2,140,80,188,0.154059703758195
2,1.06666666666667,1.06666666666667,116,92,188,0.133837566839713
1.33333333333333,1.46666666666667,1.13333333333333,32,44,140,0.153385063914569
1.4,1.4,1.66666666666667,164,92,80,0.0338476929490781
1.53333333333333,1.53333333333333,1.33333333333333,92,128,80,0.0369019677680474
1.8,1.66666666666667,1.46666666666667,176,128,152,0.0444235197707482
1.2,1.33333333333333,1.53333333333333,140,80,188,0.0134269584574848
1.53333333333333,1.4,1.46666666666667,32,56,188,0.0264170589562073
1.06666666666667,1.33333333333333,1.33333333333333,140,104,164,0.00807320457331546
2,1.66666666666667,1.73333333333333,80,68,140,0.1492480813804
1.06666666666667,1.13333333333333,1.66666666666667,116,80,32,0.0290874745973962
2,1.33333333333333,1,92,128,44,0.0887421520645687
2,1.93333333333333,1.4,20,92,188,0.0933503033552923
1.2,1.46666666666667,1.93333333333333,56,152,128,0.0434054281457511
1.73333333333333,1.73333333333333,1.66666666666667,80,44,20,0.0527617783066444
1.33333333333333,2,1.6,200,128,32,0.0491076861354378
1.46666666666667,1.73333333333333,1.66666666666667,176,128,140,0.092399059814959
1.4,1.73333333333333,1.73333333333333,68,32,20,0.0423150967999855
1.33333333333333,1.6,1.66666666666667,44,128,44,0.0313747080768599
1.93333333333333,1.33333333333333,1.6,104,164,116,0.0818978273698103
1.6,1.46666666666667,2,32,32,152,0.0674642819968057
1.26666666666667,1.4,1.4,188,92,140,0.0340098751864064
1.4,1.53333333333333,1.6,92,128,56,0.0275224120381746
1.53333333333333,1.8,1,80,92,152,0.116110003656484
1.53333333333333,1.13333333333333,1.8,152,164,56,0.0535828142775619
1.93333333333333,1.06666666666667,1.86666666666667,68,56,80,0.377999298552197
1.86666666666667,1.4,1.6,32,200,152,0.0767487813285392
1.6,1.8,1.86666666666667,68,92,140,0.0158595937086805
1.66666666666667,2,1.33333333333333,92,128,176,0.107722946285935
1,1.8,1.53333333333333,80,116,140,0.0915067736010963
1.93333333333333,1.13333333333333,1.8,104,32,128,0.267227896152
1.86666666666667,2,1.66666666666667,200,104,32,0.0622028375523388
1.86666666666667,1.26666666666667,1.13333333333333,44,188,80,0.0987218478559766
1.13333333333333,1.06666666666667,1.26666666666667,188,56,68,0.0240380308450652
1.26666666666667,1.93333333333333,1.33333333333333,104,188,56,0.0606376534341375
1.8,1.33333333333333,1.4,32,128,200,0.114787901926487
1.26666666666667,1.73333333333333,1.06666666666667,140,68,92,0.14112622440687
1.93333333333333,1.33333333333333,1.8,80,68,188,0.262724307894905
1.8,1.73333333333333,1.06666666666667,128,32,140,0.0262964609010782
1.66666666666667,1,1.53333333333333,104,152,164,0.321354294269682
1.93333333333333,1.33333333333333,1.8,140,20,116,0.0774424908959229
1.2,1.46666666666667,2,140,56,128,0.00538190103963879
1,1.2,1.33333333333333,32,188,104,0.00757079522414847
1.26666666666667,1.26666666666667,1.73333333333333,200,32,56,0.099218791111599
1.33333333333333,2,1.06666666666667,200,116,152,0.140001887166673
1,1.46666666666667,1,188,104,68,0.185820613265909
1.8,1.53333333333333,1.6,56,92,20,0.107085063990834
1.13333333333333,1.06666666666667,1.86666666666667,56,80,140,0.0219045189581199
1.33333333333333,2,1.4,80,176,44,0.077770698848331
1.2,1,1.06666666666667,164,20,200,0.00155749888501769
1.2,1.8,1.2,56,68,200,0.118833351280652
1,1.73333333333333,1.2,56,140,188,0.0114439481897714
1.93333333333333,1.33333333333333,1.13333333333333,164,188,80,0.0153350148753712
1.2,2,1.26666666666667,200,56,20,0.167853356955676
1.33333333333333,1.4,1.33333333333333,140,176,188,0.00926477327903763
1,1.06666666666667,1.86666666666667,128,176,92,0.11961576718099
1.06666666666667,1.8,1.33333333333333,104,104,200,0.0716747551910822
1.86666666666667,1.86666666666667,1.93333333333333,140,92,200,0.0285514648691194
2,2,1.86666666666667,80,140,176,0.12539912896899
1.46666666666667,1.73333333333333,1,92,152,68,0.155964255483263
1.2,1.4,1.33333333333333,128,44,92,0.00343728235304261
1.06666666666667,1.26666666666667,1.2,188,128,176,0.0189643098157678
1.8,1.46666666666667,1.06666666666667,44,32,80,0.281912814275064
1.33333333333333,1.73333333333333,1.2,92,152,44,0.0218223326658959
1.6,2,1.6,116,188,116,0.0173372190887229
1.46666666666667,1.93333333333333,1.4,140,200,188,0.076389788504608
2,1.26666666666667,1.93333333333333,44,44,152,0.136046856244009
1.26666666666667,2,1.93333333333333,188,32,128,0.0494689857117412
1.33333333333333,1.46666666666667,1,188,116,32,0.0835924291167349
1.86666666666667,1.46666666666667,1,104,176,128,0.398055287311033
1.53333333333333,1.13333333333333,1.2,104,176,200,0.169838942457222
1.46666666666667,1.4,1.8,176,56,44,0.0930013156888193
1.53333333333333,1.73333333333333,1,152,68,116,0.276617475060577
1.86666666666667,1.6,1.66666666666667,128,20,188,0.056991974899345
1.93333333333333,1.2,1.13333333333333,140,176,152,0.0229607613061301
1.4,1.93333333333333,1.93333333333333,92,44,152,0.0222893510939427
1.2,1.26666666666667,1.33333333333333,176,56,152,0.0218355423819751
1.8,1.2,1.46666666666667,20,164,80,0.0910445600138559
1.4,1.53333333333333,1.53333333333333,44,152,68,0.0355518275038711
1,1.46666666666667,1.06666666666667,56,200,164,0.0511412575668765
1.73333333333333,1.73333333333333,1.13333333333333,92,200,164,0.032263466204893
1.46666666666667,1.53333333333333,1.46666666666667,200,176,176,0.0396351168356946
1.53333333333333,1.13333333333333,1.6,164,128,188,0.0243903135496772
1.6,1.8,1.4,188,44,116,0.154459969143939
1.33333333333333,1.86666666666667,1.13333333333333,92,20,116,0.148127730200186
1.4,1.2,1.8,80,164,164,0.112214980080773
1.33333333333333,1.33333333333333,1.2,92,92,140,0.0010988722126198
1.4,1.33333333333333,1.2,152,56,152,0.0168471294262625
1.2,1.2,1.53333333333333,152,152,164,0.0107238471225748
1.66666666666667,1.4,1.4,176,56,188,0.0261966413920984
1.66666666666667,1.46666666666667,1.4,116,92,80,0.0550018725236389
1.66666666666667,1.8,1.33333333333333,44,20,92,0.156395626899274
1.53333333333333,1.06666666666667,2,20,116,32,0.0790405935360533
1.4,1.53333333333333,1.6,20,68,128,0.0312606179953999
1.6,1.46666666666667,1.2,56,128,20,0.0586705301836874
1.6,1.93333333333333,1,56,104,104,0.0902539404255971
1.4,1.13333333333333,1.66666666666667,188,140,116,0.0199506593432727
1.06666666666667,1.46666666666667,1.66666666666667,80,128,68,0.0198915518521293
1.93333333333333,1.13333333333333,1,68,104,128,0.169969138196812
1.26666666666667,1.86666666666667,1.93333333333333,164,104,20,0.0551066706979957
1.73333333333333,1.6,2,116,128,20,0.0944497011523748
1.2,1,1.33333333333333,128,44,176,0.0275802349436648
1.66666666666667,1,1.33333333333333,56,164,80,0.248195234806768
1.26666666666667,1.93333333333333,1.4,116,20,44,0.00632903657505983
1.06666666666667,1.13333333333333,1.06666666666667,152,80,116,0.0329694465433043
1.53333333333333,1.4,1.86666666666667,32,80,164,0.0108860422347828
1.73333333333333,1.8,2,56,104,56,0.178207149041543
1.4,1,1.33333333333333,104,200,128,0.141316323861731
1.73333333333333,1.2,1.6,176,80,32,0.00413593537975398
1.2,2,1.66666666666667,56,176,20,0.133681937418865
1.73333333333333,1.2,1.4,20,116,116,0.0354091247325375
1.8,1.4,1.4,92,140,116,0.16236252580121
1.66666666666667,1.86666666666667,1.86666666666667,44,56,140,0.119554233662821
1.13333333333333,1.26666666666667,1,188,128,152,0.148927288062146
1.46666666666667,1.26666666666667,1,176,128,200,0.111672567147006
1.26666666666667,1.66666666666667,1.73333333333333,44,68,116,0.0367001224134754
1.2,1.93333333333333,1.8,140,44,80,0.0290538671446149
1.86666666666667,1.33333333333333,1,128,152,164,0.257744494175235
2,1.93333333333333,1.26666666666667,80,80,68,0.0439132659488864
1.4,1.93333333333333,2,80,20,104,0.0066320387859419
2,1.6,1.33333333333333,32,68,32,0.160379953345722
1.66666666666667,1.33333333333333,1.86666666666667,104,92,20,0.184875418033972
1.2,2,1.93333333333333,92,92,200,0.0150207016464616
1.26666666666667,1.8,1.06666666666667,20,92,176,0.242297850869745
1.13333333333333,1.53333333333333,1.66666666666667,44,44,152,0.0264181992425635
1.13333333333333,1.66666666666667,1,152,116,92,0.243353465937249
1.86666666666667,1.8,1.8,80,164,44,0.0653495844182531
1,1.06666666666667,1.8,20,116,44,0.0704544954879572
1.73333333333333,1.6,2,20,20,68,0.115055887070923
1.93333333333333,1.4,1.6,128,164,116,0.0467816011882173
1.8,1.86666666666667,1.93333333333333,188,92,152,0.0410361906132454
1.86666666666667,1.86666666666667,1.06666666666667,20,128,140,0.0202438173967629
1.33333333333333,1.4,1.6,140,104,68,0.0341967620066665
1.46666666666667,1.86666666666667,1,104,68,200,0.125345438174835
1,1.93333333333333,1.33333333333333,188,164,152,0.104488260618922
1,1.46666666666667,1.6,188,176,116,0.0629038667663105
1.2,2,1.53333333333333,128,164,128,0.020756358766506
2,1.33333333333333,1.66666666666667,92,152,92,0.152751035588733
1.66666666666667,2,1.66666666666667,92,200,56,0.0190590827688059
1.06666666666667,1.6,1,44,152,80,0.10799510300845
1.6,1.2,1.06666666666667,20,44,164,0.128735736316255
1.33333333333333,1.26666666666667,2,140,56,20,0.0752320216442629
1.6,1.8,1.4,152,176,32,0.0288270739426077
1.26666666666667,1.8,1.4,164,152,20,0.0265369250268639
1.4,1.13333333333333,1.86666666666667,92,140,20,0.191763988793669
1.46666666666667,1.33333333333333,1.93333333333333,200,140,176,0.0388999699349212
1.93333333333333,2,1.06666666666667,44,68,152,0.187659017460783
1.26666666666667,1.86666666666667,1.13333333333333,92,128,104,0.0792060774842421
1.46666666666667,1.53333333333333,1.73333333333333,20,128,32,0.0290826994283634
1.13333333333333,1.93333333333333,1.6,176,176,104,0.0529841252118122
1,1.86666666666667,1.26666666666667,56,128,104,0.0646665473758831
1.6,1.73333333333333,1.4,80,164,44,0.0839350725893306
1.13333333333333,1.33333333333333,1,32,200,92,0.0361279774831399
1.93333333333333,1.86666666666667,1.2,20,92,92,0.196066416544581
1.33333333333333,1.53333333333333,1.46666666666667,140,176,128,0.0153276836331981
1.2,1.66666666666667,1.26666666666667,128,44,140,0.0480287792102394
1.73333333333333,2,1.53333333333333,128,152,20,0.0302552594831081
1.66666666666667,1.06666666666667,1.4,188,200,80,0.0870851641528262
1,1.53333333333333,1.46666666666667,56,20,140,0.040940875281635
1.6,1.86666666666667,1.8,164,20,116,0.0574244405320499
1.93333333333333,1.73333333333333,1.06666666666667,68,152,176,0.392348736765576
1.86666666666667,1.2,2,128,116,140,0.0769291299704515
1.53333333333333,1.86666666666667,1.33333333333333,152,128,44,0.122144767061158
1.13333333333333,1.73333333333333,1,32,44,32,0.0593628878835621
1.13333333333333,1.73333333333333,1.26666666666667,104,68,140,0.130274746594396
1.53333333333333,1.4,1.6,164,92,20,0.0290657316159409
1.13333333333333,1.6,1.26666666666667,200,80,128,0.143859093142574
1.86666666666667,1.6,1.06666666666667,152,20,200,0.128075431708256
1.46666666666667,1.46666666666667,1.06666666666667,80,56,128,0.153331810136887
1.93333333333333,1.53333333333333,1.93333333333333,80,56,92,0.322995282532437
1.06666666666667,1.66666666666667,1.86666666666667,140,68,140,0.0467371794687107
1.6,1.4,2,68,80,104,0.218935760666832
1.26666666666667,1.8,1.8,140,152,116,0.0432959110687795
2,1.46666666666667,1.13333333333333,20,32,200,0.156864478742829
1.13333333333333,1.06666666666667,1.46666666666667,176,44,92,0.0369803026858381
1.33333333333333,1.2,2,20,92,200,0.0813325576803355
1.2,1.8,1.2,164,104,188,0.0952978514672036
1.4,1.06666666666667,2,32,44,56,0.0855009299413347
2,1.53333333333333,1.06666666666667,164,32,32,0.128001757539796
1.06666666666667,1.46666666666667,1.8,164,128,32,0.000808858053489836
1.53333333333333,1.13333333333333,1.66666666666667,140,68,20,0.13464167393801
1.4,1.26666666666667,1.86666666666667,44,116,32,0.0566481510699173
1.6,1.53333333333333,1.53333333333333,176,188,140,0.0418201921429844
1,1.33333333333333,1.6,56,44,32,0.0402303661171339
1.73333333333333,1.93333333333333,1.46666666666667,140,32,80,0.0546396128439759
1.06666666666667,1.53333333333333,1.53333333333333,68,116,176,0.0345348381121736
1.86666666666667,1.06666666666667,1.33333333333333,200,80,20,0.286245148930888
1.86666666666667,1.8,2,104,20,176,0.0709764032027111
1.46666666666667,1.2,1.46666666666667,44,116,68,0.0698285936209332
2,1.86666666666667,2,56,188,32,0.0544229043903776
1.26666666666667,1.33333333333333,1.8,80,44,152,0.00274521203550929
1.33333333333333,1.46666666666667,1.06666666666667,20,32,140,0.141620281794601
1.06666666666667,1.73333333333333,1,140,20,188,0.139352766019816
1.2,1.53333333333333,1.8,44,164,152,0.0272337016769306
1.46666666666667,1.73333333333333,2,140,176,164,0.0445461974122108
1.93333333333333,2,1.13333333333333,56,116,68,0.115067338438604
1.53333333333333,1.4,1.8,92,176,44,0.0576334427551923
1.4,1.13333333333333,1.46666666666667,44,20,164,0.0127670267105704
1.93333333333333,1.46666666666667,1.73333333333333,116,188,164,0.0797188621619189
1.8,1.2,1,128,176,200,0.180314762690874
1.93333333333333,1.66666666666667,1,140,128,92,0.258804366583663
1.06666666666667,1,1.8,56,200,80,0.157035927773573
1.93333333333333,1.8,1.06666666666667,164,92,164,0.148157657682334
1,1.4,1.93333333333333,56,104,80,0.0190581740721008
1.86666666666667,1.66666666666667,1.26666666666667,68,188,188,0.148554414175463
1.8,1.6,2,152,152,176,0.0935750155049496
1.2,1.93333333333333,1.06666666666667,176,176,92,0.108539397104547
1.73333333333333,1.93333333333333,1.46666666666667,56,20,164,0.128786186074176
1.73333333333333,1.53333333333333,1.53333333333333,44,32,164,0.0857472195611476
1.66666666666667,1.13333333333333,1.4,92,140,32,0.236941036478055
1.73333333333333,1.26666666666667,1.8,20,104,188,0.0244366189437022
1.86666666666667,1.4,1.46666666666667,80,32,116,0.171184314616337
1.66666666666667,1.4,1.06666666666667,128,56,176,0.0277759702519694
1.2,1.26666666666667,1.93333333333333,188,32,80,0.169011354237208
1.46666666666667,1.6,2,56,80,188,0.039788989514975
1.66666666666667,1.06666666666667,1.13333333333333,140,56,92,0.0627991892974331
1.86666666666667,1.2,1.4,164,44,20,0.0115545918820425
